bucket,canonicalId,name,recipeUnit,skuVendor,sku,fromUnit,toUnit,conversionFactor,cost,costSource,lockedCost,derivedFromLatestInvoice,delta,latestVendor,latestSku,latestInvoiceDate
conversion-gap,cmo58uduf00263nu9a73pi7d5,sysco classic gloves nitrile foodservice powder free black,each,Sysco,4685614,SCS,SCS,1,,,,,,,,
conversion-gap,cmo58uduf00263nu9a73pi7d5,sysco classic gloves nitrile foodservice powder free black,each,Sysco,4685576,CS,CS,1,,,,,,,,
conversion-gap,cmo58uduf00263nu9a73pi7d5,sysco classic gloves nitrile foodservice powder free black,each,Sysco,304363443,SCS,SCS,1,,,,,,,,
conversion-gap,cmo58ubsx00183nu9x1vcq8nn,syrup lemonade,gal,Individual FoodService,NFBGMINLEM,CS,CS,1,,,,,,,,
conversion-gap,cmo58uc1b001c3nu9sok0uwcv,syrup coca cola zero sugar,gal,Individual FoodService,203035,CS,CS,1,,,,,,,,
conversion-gap,cmo58ud85001w3nu9ouzgrvwz,lyon medium syrup chocolate free flow,gal,Sysco,1405521,CS,CS,1,,,,,,,,
conversion-gap,cmo58udgt00203nu97tiadbcs,lyon medium syrup strawberry rtu,gal,Sysco,5296108,CS,CS,1,,,,,,,,
conversion-gap,cmo58uebv002e3nu9qynpmra7,soda orange fanta mexican glass,ml,Individual FoodService,G7246,CS,CS,1,,,,,,,,
conversion-gap,cmo58uljs005a3nu9ksul9kn5,cup portion plastic 2 oz clear,each,Individual FoodService,61250,CS,CS,1,,,,,,,,
conversion-gap,cmo58ulsm005e3nu9zgog7xnx,mustard packets 5.5gr,g,Individual FoodService,G106,CS,CS,1,,,,,,,,
conversion-gap,cmo58ugcj003c3nu98lwa4t2j,ctecocrft paper wax deli,oz,Sysco,1234271,CS,CS,1,,,,,,,,
conversion-gap,cmo58uhf6003u3nu9l1qxfq5f,tray food paper #50 1/2 lb white red check,each,Individual FoodService,SQP2650,CS,CS,1,,,,,,,,
conversion-gap,cmo58uie3004a3nu9mo4wnzjl,napkin dispenser 2-ply 8.5 x 6.5 white,each,Individual FoodService,18418,CS,CS,1,,,,,,,,
conversion-gap,cmo58uii6004c3nu99m25lsip,towel multifold kraft 1-ply,each,Individual FoodService,18369,CS,CS,1,,,,,,,,
conversion-gap,cmo58uko2004w3nu9z0wfd37f,sys cls salt granulated iodized,lb,Sysco,7172848,CS,CS,1,,,,,,,,
conversion-gap,cmo58ukso004y3nu9uxzuhfdg,sys cls paper patty square 5.5,each,Sysco,6854509,CS,CS,1,,,,,,,,
conversion-gap,cmo58u9gw00043nu9k25qbxn1,lamb potato fry ss 1/4 stealth,lb,Sysco,2141760,CS,CS,1,,,,,,,,
conversion-gap,cmo58ub7r000y3nu9t17rhves,relish sweet,oz,Individual FoodService,G1464,CS,CS,1,,,,,,,,
conversion-gap,cmo58ub7r000y3nu9t17rhves,relish sweet,oz,Sysco,4036448,CS,CS,1,,,,,,,,
suspicious-magnitude,cmo58ub7r000y3nu9t17rhves,relish sweet,oz,,,,,,0,invoice,,,,,,
locked-drift,cmo6v1w56001hiku9yznqu6k0,"pickle chips sandwich cut 1/8""",each,,,,,,,,0.036,36,35.964,"Premier Deli Services, Inc.",813,2026-04-08T00:00:00.000Z
conversion-gap,cmo58u9y5000c3nu9l03pj9oz,chrsned bag plas tshirt logo ptsbchrisneddy,each,Sysco,7380317,CS,CS,1,,,,,,,,
conversion-gap,cmo58unti00683nu9vr74zquv,syrup sprite,gal,Individual FoodService,NFBGSPRI,CS,CS,1,,,,,,,,
conversion-gap,cmo58uo29006c3nu9xq8wftcu,cutlery fork full size extra heavy black pp,each,Individual FoodService,IFS-PPF-B,CS,CS,1,,,,,,,,
conversion-gap,cmo58uore006o3nu96a66a7v9,greeno lid flat with hole 20 oz pe pet,each,Sysco,7190716,CS,CS,1,,,,,,,,
conversion-gap,cmo58ueg2002g3nu90wtu7q3x,soap dish liquid premium,gal,Individual FoodService,210529,CS,CS,1,,,,,,,,
conversion-gap,cmo58ueg2002g3nu90wtu7q3x,soap dish liquid premium,gal,Individual FoodService,HAND-SOAP,CS,CS,1,,,,,,,,
conversion-gap,cmo58uoez006i3nu95pry78wa,martins bread potato roll sandwich 3.5 inch,each,Sysco,3589484,CS,CS,1,,,,,,,,
conversion-gap,cmo58uoez006i3nu95pry78wa,martins bread potato roll sandwich 3.5 inch,each,Sysco,00500520,CS,CS,1,,,,,,,,
conversion-gap,cmo58uq74007c3nu99nk8f9sc,tray pulp 4-cup carrier 8-32 oz,each,Individual FoodService,14960,CS,CS,1,,,,,,,,
conversion-gap,cmo58upda006y3nu9km1v92fq,sys cls spice pepper blk grnd,lb,Sysco,5935689,S,S,1,,,,,,,,
conversion-gap,cmo58uq2y007a3nu9e7ljw3u5,embossed bath tissue 2-ply recycled individually wrapped,cs,Individual FoodService,30394,CS,CS,1,,,,,,,,
conversion-gap,cmo58uqbd007e3nu9wupqwutm,mustard packets 5.5 g,g,Individual FoodService,G108,CS,CS,1,,,,,,,,
conversion-gap,cmo58uphn00703nu9i90i7s3t,"lid portion plastic 1.5, 2, 2.5 oz",each,Individual FoodService,61254,CS,CS,1,,,,,,,,
conversion-gap,cmo58unxu006a3nu93540g3zt,container foam 1-compartment bagged,each,Individual FoodService,HT91-BAG,CS,CS,1,,,,,,,,
conversion-gap,cmo58ufid002y3nu9f9sbsnoz,ground beef fine grnd 73/27 creekstone,lb,Sysco,1029562,CS,CS,1,,,,,,,,
conversion-gap,cmo58ubc000103nu9yxeujip5,soda coke mexican glass,ml,Individual FoodService,G7234,CS,CS,1,,,,,,,,
conversion-gap,cmo58ubg600123nu9095wokzi,water crystal geyser spring,oz,Individual FoodService,12345,CS,CS,1,,,,,,,,
conversion-gap,cmo58u9tw000a3nu99js828m7,greeno cup pet 20 oz c&d pet,each,Sysco,7370699,CS,CS,1,,,,,,,,
conversion-gap,cmo58uo6j006e3nu9prnc2439,whole class ice cream mix soft serve vanilla 5%,oz,Sysco,7087727,CS,CS,1,,,,,,,,
conversion-gap,cmo58uo6j006e3nu9prnc2439,whole class ice cream mix soft serve vanilla 5%,oz,Sysco,1011849,CS,CS,1,,,,,,,,
conversion-gap,cmo58uoao006g3nu90b3ia5hm,whole frozen butter solid usda aa unsalted,lb,Sysco,7485170,CS,CS,1,,,,,,,,
conversion-gap,cmo58upum00763nu9xvzsgrdr,container foam hinged white 9x6.5x2.5,each,Individual FoodService,965-REY,CS,CS,1,,,,,,,,
conversion-gap,cmo58ubom00163nu96d28cmae,ketchup heinz 33% fancy,lb,Individual FoodService,G212,CS,CS,1,,,,,,,,
conversion-gap,cmo58uek8002i3nu9hsanw7jv,degreaser - regal brand,gal,Individual FoodService,12158,CS,CS,1,,,,,,,,
conversion-gap,cmo58ueww002o3nu91r8ou3nb,ketchup packets foil,g,Individual FoodService,G1025,CS,CS,1,,,,,,,,
conversion-gap,cmo58ua28000e3nu9qwyo08i7,keyston sanitizer multi quat liq,gal,Sysco,8116788,CS,CS,1,,,,,,,,
conversion-gap,cmo58udcf001y3nu9qk4wigri,sysco reliable shortening fry liquid clear ztf,lb,Sysco,4518403,CS,CS,1,,,,,,,,
conversion-gap,cmo58udcf001y3nu9qk4wigri,sysco reliable shortening fry liquid clear ztf,lb,Sysco,5020553,CS,CS,1,,,,,,,,
conversion-gap,cmo58ubx6001a3nu9rkduccbq,syrup hi-c fruit punch flashin,gal,Individual FoodService,NFBGFP,CS,CS,1,,,,,,,,
conversion-gap,cmo6v1x5v001riku97k5jz2po,bag t-shirt white 12x7x22 17mic with warning,each,Individual FoodService,18676,CS,CS,1,,,,,,,,
conversion-gap,cmo58udyt00283nu9ufwdn6f5,packer lettuce boston hydroponic,each,Sysco,2717106,CS,CS,1,,,,,,,,
conversion-gap,cmo58udyt00283nu9ufwdn6f5,packer lettuce boston hydroponic,each,Sysco,1008200,CS,CS,1,,,,,,,,
conversion-gap,cmo58ul1t00523nu999oce95f,sysco classic mayonnaise banquet xhv duty,gal,Sysco,4983920,CS,CS,1,,,,,,,,
conversion-gap,cmo58ul6500543nu9i56jxaiz,soda sprite mexican glass crv inc,ml,Individual FoodService,G7244,CS,CS,1,,,,,,,,
conversion-gap,cmo58ulan00563nu95ofk71rq,syrup orange fanta,gal,Individual FoodService,NFBGFAOR,CS,CS,1,,,,,,,,
conversion-gap,cmo58um5o005k3nu95dn9x59n,container foam 6x6x3 medium hinged square,each,Individual FoodService,X80,CS,CS,1,,,,,,,,
conversion-gap,cmo58ungi00623nu95frgtxdz,cont foam hing lrg wht hoagie,each,Individual FoodService,15898,CS,CS,1,,,,,,,,
conversion-gap,cmo58unkn00643nu9fl9rrqck,tomato paste heinz,lb,Individual FoodService,G213,CS,CS,1,,,,,,,,
conversion-gap,cmo58uhjk003w3nu9cp8e4e1d,syrup coca cola classic,gal,Individual FoodService,NFBGCOKE,CS,CS,1,,,,,,,,
conversion-gap,cmo58uggu003e3nu90ym6arxj,erthpls lid plastic clear dome for burrito,each,Sysco,4919571,CS,CS,1,,,,,,,,
conversion-gap,cmo58ugl7003g3nu9x1er9bxv,erthpls bowl pulp oval,each,Sysco,7381771,CS,CS,1,,,,,,,,
conversion-gap,cmo58uiv2004i3nu95kozrsz2,kosher flake coarse salt,lb,Sysco,6040760,CS,CS,1,,,,,,,,
conversion-gap,cmo58uho3003y3nu945lzvpgp,syrup diet coca cola,gal,Individual FoodService,NFBGDCOK,CS,CS,1,,,,,,,,
conversion-gap,cmo58ui9p00483nu964sqjnvr,container foam 6x6x3 medium white bagged,each,Individual FoodService,X80-BAG,CS,CS,1,,,,,,,,
conversion-gap,cmo58ukjr004u3nu9uvuixnr2,chris & eddy's house sauce,oz,Bear State Kitchen,17211,CS,CS,1,,,,,,,,
conversion-gap,cmo58uhax003s3nu992dz4iob,imported fresh tomato bulk 5x6 fresh,each,Sysco,1763432,CS,CS,1,,,,,,,,
conversion-gap,cmo58uar0000q3nu9rhezzbxy,packer onion sweet fresh,lb,Sysco,3812807,CS,CS,1,,,,,,,,
conversion-gap,cmo6v1wwt001piku91stqwcpf,cup plastic 10 oz clear pp,each,Individual FoodService,PBS10-CUP,CS,CS,1,,,,,,,,