date,itemName,category,qtySold,salesRevenue,unitCost,lineCost,status
2026-04-24,2 Slider Combo,Combos,72,1187.28,4.590545723844073,330.5192921167733,COSTED
2026-04-24,1 Slider Combo,Combos,56,643.44,2.9089434152961178,162.9008312565826,COSTED
2026-04-24,Loaded Fries,On The Side,78,644.7199999999999,1.6593237037037039,129.4272488888889,COSTED
2026-04-30,1 Slider Combo,Combos,52,597.48,2.993885498331046,155.68204591321438,COSTED
2026-04-30,2 Slider Combo,Combos,65,1071.85,4.619025280854619,300.23664325555023,COSTED
2026-04-30,Strawberry Shake,Drinks,15,67.35,1.7990109375,26.9851640625,COSTED
2026-04-30,Chocolate Shake,Drinks,10,44.900000000000006,1.7886593750000004,17.886593750000003,COSTED
2026-04-30,Soda,Drinks,40,119.60000000000002,0.29181250000000003,11.672500000000001,COSTED
2026-04-30,Vanilla Shake,Drinks,4,17.96,1.6278000000000001,6.5112000000000005,COSTED
2026-04-14,1 Slider Combo,Combos,42,482.58000000000004,3.0470608450252263,127.9765554910595,COSTED
2026-04-21,Single Slider,A La Carte ,4,23.4,1.0621365025946274,4.24854601037851,COSTED
2026-04-03,Chocolate Shake,Drinks,1,4.49,1.748259375,1.748259375,COSTED
2026-04-03,Coca Cola (20 oz cup),Drinks,23,79.27,0.29181250000000003,6.711687500000001,COSTED
2026-04-03,Diet Coke (20 oz cup),Drinks,5,17.95,0.300828125,1.504140625,COSTED
2026-04-03,Hi-C (20 oz cup),Drinks,10,32.400000000000006,0.300828125,3.00828125,COSTED
2026-04-03,Orange Fanta (20 oz cup),Drinks,3,10.77,0.300828125,0.902484375,COSTED
2026-04-30,Chocolate Shake (20 oz cup),Drinks,18,95.83,1.7886593750000002,32.19586875,COSTED
2026-04-30,Strawberry Shake (20 oz cup),Drinks,10,52.709999999999994,1.7990109374999999,17.990109375,COSTED
2026-04-30,Vanilla Shake (20 oz cup),Drinks,18,64.61999999999999,1.6278000000000001,29.300400000000003,COSTED
2026-04-30,Coca Cola (20 oz cup),Drinks,6,21.54,0.29181250000000003,1.7508750000000002,COSTED
2026-04-02,The Family Box,Secret Menu,6,223.20000000000002,8.834527719860198,53.007166319161186,COSTED
2026-04-02,The Triple Pack,Secret Menu,2,56.16,5.626674183984854,11.253348367969709,COSTED
2026-04-02,1 Slider and Fries,Slider and Fries Combos,16,215.39999999999998,3.051816470399152,48.829063526386435,COSTED
2026-04-02,2 Grilled Cheeses and Fries,Slider and Fries Combos,1,14.02,2.435864713804714,2.435864713804714,COSTED
2026-04-02,2 Sliders and Fries,Slider and Fries Combos,28,524.42,4.320948223875677,120.98655026851895,COSTED
2026-04-02,2 Triples and Fries,Slider and Fries Combos,4,93.56,5.574558602635648,22.29823441054259,COSTED
2026-04-30,Combo 3,Combos,1,19.49,6.6077689418649594,6.6077689418649594,COSTED
2026-04-30,Coke Zero (20 oz cup),Drinks,2,6.92,0.29181250000000003,0.5836250000000001,COSTED
2026-04-30,Side of Yellow Chilies,On The Side,27,7.949999999999999,0.21850000000000003,5.899500000000001,COSTED
2026-04-30,Sprite (20 oz cup),Drinks,4,13.66,0.29181250000000003,1.1672500000000001,COSTED
2026-04-03,Soda,Drinks,52,155.48000000000002,0.29181250000000003,15.17425,COSTED
2026-04-02,Soda,Drinks,56,167.44,0.2918125000000001,16.341500000000003,COSTED
2026-04-03,Sprite (20 oz cup),Drinks,9,31.71,0.29181250000000003,2.6263125,COSTED
2026-04-03,Signature Slider Fries & Drink Combo,NFL Promo,1,18.54,3.2283524346848664,3.2283524346848664,COSTED
2026-04-05,Orange Fanta (20 oz cup),Drinks,2,7.18,0.300828125,0.60165625,COSTED
2026-04-05,Soda,Drinks,93,278.07,0.29181250000000003,27.138562500000003,COSTED
2026-04-05,Sprite (20 oz cup),Drinks,6,20.84,0.29181250000000003,1.7508750000000002,COSTED
2026-04-30,The Triple Pack,Secret Menu,2,56.16,6.04612792499988,12.09225584999976,COSTED
2026-04-30,1 Slider and Fries,Slider and Fries Combos,16,216.03999999999996,3.134954669375511,50.15927471000818,COSTED
2026-04-05,Soda,Uncategorized,2,5.98,0.29181250000000003,0.5836250000000001,COSTED
2026-04-04,Combo 3,Combos,2,38.98,5.5315516474032025,11.063103294806405,COSTED
2026-04-04,Coca Cola (20 oz cup),Drinks,16,57.440000000000005,0.29181250000000003,4.6690000000000005,COSTED
2026-04-04,Coke Zero (20 oz cup),Drinks,3,10.379999999999999,0.29181250000000003,0.8754375000000001,COSTED
2026-04-04,Diet Coke (20 oz cup),Drinks,10,34.1,0.300828125,3.00828125,COSTED
2026-04-04,Hi-C (20 oz cup),Drinks,9,30.21,0.300828125,2.707453125,COSTED
2026-04-30,The Family Box,Secret Menu,2,74.4,9.393129323170033,18.786258646340066,COSTED
2026-04-30,2 Sliders and Fries,Slider and Fries Combos,31,606.89,4.259866369390316,132.0558574510998,COSTED
2026-04-30,Diet Coke (20 oz cup),Drinks,5,16.75,0.291703125,1.458515625,COSTED
2026-04-30,Orange Fanta (20 oz cup),Drinks,2,7.18,0.300828125,0.60165625,COSTED
2026-04-30,Hi-C (20 oz cup),Drinks,2,7.18,0.300828125,0.60165625,COSTED
2026-04-30,Signature Slider Fries & Drink Combo,NFL Promo,2,37.08,4.617004313348725,9.23400862669745,COSTED
2026-04-30,2 Triples and Fries,Slider and Fries Combos,3,70.17,5.684517602579245,17.053552807737734,COSTED
2026-04-11,Single Slider,A La Carte ,17,99.44999999999999,0.9951145650205483,16.91694760534932,COSTED
2026-05-01,1 Slider Combo,Combos,42,482.58000000000004,3.0827270809932834,129.4745374017179,COSTED
2026-05-01,2 Slider Combo,Combos,70,1154.3,4.651209607886036,325.58467255202254,COSTED
2026-05-01,2 Sliders and Fries,Slider and Fries Combos,46,897.1400000000001,4.3553945290151415,200.3481483346965,COSTED
2026-05-01,Soda,Drinks,39,116.61000000000001,0.29181250000000003,11.3806875,COSTED
2026-05-01,Strawberry Shake,Drinks,7,31.430000000000007,1.7990109375,12.5930765625,COSTED
2026-04-14,2 Triples and Fries,Slider and Fries Combos,7,159.83,5.580764383234604,39.06535068264223,COSTED
2026-05-01,1 Slider and Fries,Uncategorized,1,13.79,11.136139773170154,11.136139773170154,COSTED
2026-05-01,Strawberry Shake (20 oz cup),Drinks,12,63.49,1.7990109375,21.58813125,COSTED
2026-05-01,Vanilla Shake (20 oz cup),Drinks,10,35.9,1.6278000000000001,16.278000000000002,COSTED
2026-05-01,Side of Yellow Chilies,Uncategorized,1,0.3,0.21850000000000003,0.21850000000000003,COSTED
2026-05-01,Coca Cola (20 oz cup),Drinks,15,53.25000000000002,0.29181250000000003,4.377187500000001,COSTED
2026-05-01,Chocolate Shake,Drinks,8,35.92,1.7886593750000002,14.309275000000001,COSTED
2026-05-01,1 Slider and Fries,Slider and Fries Combos,17,219.35,3.225981773170154,54.84169014389262,COSTED
2026-05-01,Chocolate Shake (20 oz cup),Drinks,10,53.9,1.7886593750000004,17.886593750000003,COSTED
2026-05-01,Side of Yellow Chilies,On The Side,54,15.999999999999998,0.21850000000000003,11.799000000000001,COSTED
2026-04-26,1 Slider Combo,Combos,50,574.5000000000001,3.0531299308094457,152.6564965404723,COSTED
2026-04-26,2 Slider Combo,Combos,93,1533.5700000000004,4.571280752789688,425.129110009441,COSTED
2026-04-02,1 Slider Combo,Combos,37,425.13000000000005,2.979576137870195,110.24431710119721,COSTED
2026-04-02,2 Slider Combo,Combos,61,1005.8900000000003,4.631679689457812,282.53246105692654,COSTED
2026-04-02,Chocolate Shake,Drinks,1,4.49,1.748259375,1.748259375,COSTED
2026-04-02,Chocolate Shake (20 oz cup),Drinks,3,16.169999999999998,1.748259375,5.244778125,COSTED
2026-04-02,Coca Cola (20 oz cup),Drinks,9,32.31,0.29181250000000003,2.6263125,COSTED
2026-04-02,Coke Zero (20 oz cup),Drinks,2,6.92,0.29181250000000003,0.5836250000000001,COSTED
2026-04-02,Diet Coke (20 oz cup),Drinks,8,28.72,0.300828125,2.406625,COSTED
2026-04-02,Hi-C (20 oz cup),Drinks,6,21.54,0.300828125,1.80496875,COSTED
2026-04-04,2 Triples and Fries,Slider and Fries Combos,11,233.89,5.4390922090915135,59.83001430000665,COSTED
2026-05-01,Diet Coke (20 oz cup),Drinks,4,13.76,0.291703125,1.1668125,COSTED
2026-04-05,The Family Box,Secret Menu,4,148.8,8.029908815264555,32.11963526105822,COSTED
2026-04-05,1 Slider and Fries,Slider and Fries Combos,19,249.87,2.630301782940718,49.97573387587364,COSTED
2026-04-05,2 Grilled Cheeses and Fries,Slider and Fries Combos,1,14.02,2.435864713804714,2.435864713804714,COSTED
2026-04-05,2 Sliders and Fries,Slider and Fries Combos,25,488.1500000000001,4.014954407632278,100.37386019080694,COSTED
2026-04-05,2 Triples and Fries,Slider and Fries Combos,4,93.56,5.074329254546059,20.297317018184238,COSTED
2026-04-05,2 Slider Combo,Uncategorized,1,16.49,4.014954407632278,4.014954407632278,COSTED
2026-04-13,1 Slider Combo,Combos,25,287.25000000000006,2.995577489048847,74.88943722622118,COSTED
2026-05-01,Hi-C (20 oz cup),Drinks,3,10.77,0.300828125,0.902484375,COSTED
2026-05-01,The Family Box,Secret Menu,4,148.8,8.923076854420033,35.692307417680134,COSTED
2026-05-01,Coke Zero (20 oz cup),Drinks,4,13.84,0.29181250000000003,1.1672500000000001,COSTED
2026-04-03,Double Slider,A La Carte ,19,142.31,1.5902292867740542,30.21435644870703,COSTED
2026-04-03,Single Slider,A La Carte ,3,17.549999999999997,1.0140728931781717,3.042218679534515,COSTED
2026-04-03,1 Slider Combo,Combos,51,585.99,3.1049295242944064,158.35140573901472,COSTED
2026-04-03,2 Slider Combo,Combos,74,1220.2600000000004,4.673126980648771,345.81139656800906,COSTED
2026-04-03,Combo 3,Combos,3,58.47,5.483898691921362,16.451696075764087,COSTED
2026-05-01,Sprite (20 oz cup),Drinks,3,9.370000000000001,0.29181250000000003,0.8754375000000001,COSTED
2026-05-01,Vanilla Shake,Drinks,4,17.96,1.6278000000000001,6.5112000000000005,COSTED
2026-04-04,Double Slider,A La Carte ,15,112.35000000000002,1.541628296120131,23.124424441801967,COSTED
2026-04-04,1 Slider Combo,Combos,101,1160.4900000000007,2.9469589334759325,297.64285228106917,COSTED
2026-04-04,2 Slider Combo,Combos,110,1813.9000000000005,4.462894812780586,490.91842940586446,COSTED
2026-05-01,Combo 3,Combos,1,19.49,5.649766156150673,5.649766156150673,COSTED
2026-05-01,2 Triples and Fries,Slider and Fries Combos,4,85.75999999999999,5.403918839186388,21.61567535674555,COSTED
2026-04-03,The Family Box,Secret Menu,3,111.60000000000001,8.59916449366972,25.797493481009163,COSTED
2026-04-03,1 Slider and Fries,Slider and Fries Combos,21,267.98999999999995,2.978229673630445,62.54282314623934,COSTED
2026-04-03,2 Sliders and Fries,Slider and Fries Combos,27,507.93000000000006,4.37296792672904,118.0701340216841,COSTED
2026-04-03,2 Triples and Fries,Slider and Fries Combos,3,70.17,5.647876715730885,16.943630147192657,COSTED
2026-04-03,2 Slider Combo,Uncategorized,1,16.49,46.42356476334996,46.42356476334996,COSTED
2026-04-03,Soda,Uncategorized,1,2.99,0.29181250000000003,0.29181250000000003,COSTED
2026-04-04,The Family Box,Secret Menu,4,148.8,8.858127690264554,35.43251076105822,COSTED
2026-04-04,1 Slider and Fries,Slider and Fries Combos,16,216.03999999999994,2.988210689190718,47.811371027051486,COSTED
2026-04-04,2 Sliders and Fries,Slider and Fries Combos,32,606.8800000000001,4.384223833971563,140.29516268709003,COSTED
2026-04-24,Loaded Fries,A La Carte ,1,6.99,1.6593237037037039,1.6593237037037039,COSTED
2026-04-11,2 Slider Combo,Combos,97,1599.5300000000007,4.678343385720312,453.79930841487027,COSTED
2026-04-10,1 Slider Combo,Combos,63,723.8700000000002,2.7530881765842485,173.44455512480766,COSTED
2026-04-10,2 Slider Combo,Combos,99,1632.5100000000007,4.380631227464258,433.68249151896157,COSTED
2026-04-27,Side of Yellow Chilies,On The Side,46,13.650000000000002,0.21850000000000006,10.051000000000002,COSTED
2026-04-27,Coca Cola (20 oz cup),Drinks,9,31.71,0.29181250000000003,2.6263125,COSTED
2026-04-27,2 Triples and Fries,Slider and Fries Combos,2,42.879999999999995,5.805367601767557,11.610735203535114,COSTED
2026-04-27,2 Slider Combo,Combos,34,560.6600000000001,4.665362875846858,158.62233777879317,COSTED
2026-04-27,1 Slider Combo,Combos,38,436.6200000000001,2.9946887676592175,113.79817317105027,COSTED
2026-04-27,Diet Coke (20 oz cup),Drinks,6,21.54,0.291703125,1.7502187500000002,COSTED
2026-04-27,Chocolate Shake (20 oz cup),Drinks,11,58.1,1.7886593750000002,19.675253125,COSTED
2026-04-27,Loaded Fries,On The Side,83,669.2099999999998,1.7047704894179896,141.49595062169314,COSTED
2026-04-27,Coke Zero (20 oz cup),Drinks,1,3.46,0.29181250000000003,0.29181250000000003,COSTED
2026-04-27,Straight-Cut Fries,On The Side,71,371.98,0.7037037037037037,49.96296296296296,COSTED
2026-04-27,2 Sliders and Fries,Slider and Fries Combos,29,564.0100000000001,4.467447423550423,129.55597528296227,COSTED
2026-04-27,Orange Fanta (20 oz cup),Drinks,2,7.18,0.300828125,0.60165625,COSTED
2026-04-27,Vanilla Shake (20 oz cup),Drinks,28,102.96000000000001,1.6278000000000001,45.5784,COSTED
2026-04-27,1 Slider and Fries,Slider and Fries Combos,17,232.13,2.995729079606365,50.9273943533082,COSTED
2026-04-27,Cheese Fries,A La Carte ,1,5.99,0.9636837037037037,0.9636837037037037,COSTED
2026-04-27,The Family Box,Secret Menu,2,74.4,8.283602473332373,16.567204946664745,COSTED
2026-04-27,Cheese Fries,On The Side,5,35.95,0.9636837037037036,4.818418518518518,COSTED
2026-04-27,Signature Slider Fries & Drink Combo,NFL Promo,2,37.08,3.970090491108466,7.940180982216932,COSTED
2026-04-27,Hi-C (20 oz cup),Drinks,4,14.36,0.300828125,1.2033125,COSTED
2026-04-27,Soda,Drinks,41,122.58999999999997,0.29181250000000003,11.964312500000002,COSTED
2026-04-27,Strawberry Shake,Drinks,4,17.96,1.7990109375,7.19604375,COSTED
2026-04-27,Strawberry Shake (20 oz cup),Drinks,21,109.62,1.7990109374999999,37.7792296875,COSTED
2026-04-27,Straight Cut Fries ,A La Carte ,6,26.940000000000005,0.7037037037037037,4.222222222222222,COSTED
2026-04-27,Combo 3,Combos,1,19.49,5.362187610696129,5.362187610696129,COSTED
2026-04-27,2 Grilled Cheeses and Fries,Slider and Fries Combos,1,14.02,3.5323709439634436,3.5323709439634436,COSTED
2026-04-27,Loaded Fries,A La Carte ,1,6.99,1.7047704894179896,1.7047704894179896,COSTED
2026-04-27,Chocolate Shake,Drinks,2,8.98,1.7886593750000002,3.5773187500000003,COSTED
2026-04-27,Vanilla Shake,Drinks,4,17.96,1.6278000000000001,6.5112000000000005,COSTED
2026-04-27,Sprite (20 oz cup),Drinks,3,9.370000000000001,0.29181250000000003,0.8754375000000001,COSTED
2026-04-27,The Triple Pack,Secret Menu,1,28.08,5.460284852759621,5.460284852759621,COSTED
2026-04-28,Soda,Drinks,44,131.56000000000006,0.29181250000000003,12.839750000000002,COSTED
2026-04-28,2 Slider Combo,Combos,51,840.99,4.65755688950232,237.53540136461834,COSTED
2026-04-28,Vanilla Shake,Drinks,8,35.92,1.6278000000000001,13.022400000000001,COSTED
2026-04-28,1 Slider Combo,Combos,49,563.0100000000002,2.996709332671877,146.83875730092197,COSTED
2026-04-28,Loaded Fries,On The Side,100,811.84,1.7047704894179896,170.47704894179896,COSTED
2026-04-28,Strawberry Shake (20 oz cup),Drinks,4,19.18,1.7990109375,7.19604375,COSTED
2026-04-28,Straight-Cut Fries,On The Side,48,255.14999999999992,0.7037037037037037,33.77777777777778,COSTED
2026-04-28,2 Sliders and Fries,Slider and Fries Combos,31,570.59,4.321368321055587,133.9624179527232,COSTED
2026-04-28,Sprite (20 oz cup),Drinks,1,3.59,0.29181250000000003,0.29181250000000003,COSTED
2026-04-28,1 Slider and Fries,Slider and Fries Combos,22,300.44000000000005,3.1696072837221014,69.73136024188624,COSTED
2026-04-28,Side of Yellow Chilies,On The Side,41,12.25,0.21850000000000003,8.9585,COSTED
2026-04-28,Coca Cola (20 oz cup),Drinks,8,27.32,0.29181250000000003,2.3345000000000002,COSTED
2026-04-15,1 Slider Combo,Combos,40,459.6000000000001,3.0749567657461965,122.99827062984787,COSTED
2026-04-28,Chocolate Shake,Drinks,4,17.96,1.7886593750000002,7.154637500000001,COSTED
2026-04-28,Hi-C (20 oz cup),Drinks,6,21.54,0.300828125,1.80496875,COSTED
2026-04-28,Vanilla Shake (20 oz cup),Drinks,15,55.07,1.6278000000000001,24.417,COSTED
2026-04-28,Triple Slider,A La Carte ,2,16.98,2.1760956111441194,4.352191222288239,COSTED
2026-04-28,Chocolate Shake (20 oz cup),Drinks,9,48.51,1.7886593750000002,16.097934375,COSTED
2026-04-28,Orange Fanta (20 oz cup),Drinks,2,7.18,0.300828125,0.60165625,COSTED
2026-04-28,Loaded Fries,A La Carte ,2,13.98,1.7047704894179896,3.409540978835979,COSTED
2026-04-28,Straight Cut Fries ,A La Carte ,4,17.96,0.7037037037037037,2.814814814814815,COSTED
2026-04-28,Strawberry Shake,Drinks,2,8.98,1.7990109375,3.598021875,COSTED
2026-04-28,The Family Box,Secret Menu,6,223.2,8.25640427392761,49.53842564356566,COSTED
2026-04-28,2 Triples and Fries,Slider and Fries Combos,5,113.05,5.343646978553272,26.718234892766358,COSTED
2026-04-28,Coke Zero (20 oz cup),Drinks,1,3.46,0.29181250000000003,0.29181250000000003,COSTED
2026-04-28,Diet Coke (20 oz cup),Drinks,7,25.13,0.291703125,2.041921875,COSTED
2026-04-28,Signature Slider Fries & Drink Combo,NFL Promo,1,18.54,4.723395995572751,4.723395995572751,COSTED
2026-04-28,Cheese Fries,On The Side,9,64.71000000000001,0.9636837037037037,8.673153333333333,COSTED
2026-04-24,2 Slider Combo,Uncategorized,2,32.98,24.754180234959705,49.50836046991941,COSTED
2026-04-29,1 Slider Combo,Combos,52,597.4800000000001,3.012713539872202,156.6611040733545,COSTED
2026-04-29,2 Slider Combo,Combos,66,1088.3400000000001,4.58625098017268,302.69256469139685,COSTED
2026-04-20,Double Slider,A La Carte ,33,247.17,1.5535761058386057,51.26801149267399,COSTED
2026-04-20,1 Slider Combo,Combos,61,700.8900000000001,2.9225901503726996,178.27799917273467,COSTED
2026-04-20,2 Slider Combo,Combos,65,1071.8500000000001,4.554242917242304,296.0257896207497,COSTED
2026-04-29,Coca Cola (20 oz cup),Drinks,9,31.61,0.29181250000000003,2.6263125,COSTED
2026-04-29,Hi-C (20 oz cup),Drinks,4,12.96,0.300828125,1.2033125,COSTED
2026-04-29,Soda,Drinks,42,125.58000000000003,0.29181250000000003,12.256125,COSTED
2026-04-29,Loaded Fries,On The Side,89,731.1900000000002,1.7047704894179898,151.7245735582011,COSTED
2026-04-29,Side of Yellow Chilies,On The Side,37,11.05,0.2185,8.0845,COSTED
2026-04-29,Straight-Cut Fries,On The Side,43,229.38999999999996,0.7037037037037037,30.25925925925926,COSTED
2026-04-29,1 Slider and Fries,Slider and Fries Combos,18,239.39999999999998,3.0208670362473544,54.375606652452376,COSTED
2026-04-29,Chocolate Shake,Drinks,5,22.450000000000003,1.7886593750000004,8.943296875000001,COSTED
2026-04-29,Strawberry Shake,Drinks,16,71.84000000000002,1.7990109375,28.784175,COSTED
2026-04-29,Chocolate Shake (20 oz cup),Drinks,14,75.46,1.7886593750000002,25.041231250000003,COSTED
2026-04-29,Strawberry Shake (20 oz cup),Drinks,7,37.73,1.7990109375,12.5930765625,COSTED
2026-04-29,Cheese Fries,On The Side,5,35.95,0.9636837037037036,4.818418518518518,COSTED
2026-04-29,Vanilla Shake,Drinks,7,31.43,1.6278000000000001,11.3946,COSTED
2026-04-29,Vanilla Shake (20 oz cup),Drinks,17,63.47,1.6278000000000001,27.672600000000003,COSTED
2026-04-29,2 Sliders and Fries,Slider and Fries Combos,18,343.02000000000004,4.337153242618567,78.06875836713421,COSTED
2026-04-16,2 Slider Combo,Combos,74,1220.2600000000004,4.605724243494537,340.8235940185957,COSTED
2026-04-29,2 Triples and Fries,Slider and Fries Combos,4,85.75999999999999,5.4821440839104145,21.928576335641658,COSTED
2026-04-29,Straight Cut Fries ,A La Carte ,3,13.47,0.7437037037037038,2.2311111111111113,COSTED
2026-04-29,Combo 3,Combos,1,19.49,6.363254396410414,6.363254396410414,COSTED
2026-04-29,Coke Zero (20 oz cup),Drinks,2,6.92,0.29181250000000003,0.5836250000000001,COSTED
2026-04-29,Diet Coke (20 oz cup),Drinks,4,14.36,0.291703125,1.1668125,COSTED
2026-04-29,Sprite (20 oz cup),Drinks,2,7.18,0.29181250000000003,0.5836250000000001,COSTED
2026-04-29,Signature Slider Fries & Drink Combo,NFL Promo,2,37.08,3.1672971652156083,6.334594330431217,COSTED
2026-04-29,The Triple Pack,Secret Menu,1,28.08,5.799939120616764,5.799939120616764,COSTED
2026-04-22,2 Slider Combo,Combos,64,1055.3600000000001,4.478444887625685,286.6204728080438,COSTED
2026-04-02,Orange Fanta (20 oz cup),Drinks,1,3.59,0.300828125,0.300828125,COSTED
2026-04-02,Sprite (20 oz cup),Drinks,6,20.939999999999998,0.29181250000000003,1.7508750000000002,COSTED
2026-04-02,Strawberry Shake,Drinks,3,13.47,1.7586109374999996,5.275832812499999,COSTED
2026-04-02,Strawberry Shake (20 oz cup),Drinks,6,29.96,1.7586109374999996,10.551665624999998,COSTED
2026-04-02,Vanilla Shake,Drinks,1,4.49,1.5874,1.5874,COSTED
2026-04-02,Vanilla Shake (20 oz cup),Drinks,13,47.88999999999999,1.5874,20.6362,COSTED
2026-04-04,Orange Fanta (20 oz cup),Drinks,1,3.59,0.300828125,0.300828125,COSTED
2026-04-04,Soda,Drinks,131,391.69000000000005,0.29181250000000003,38.2274375,COSTED
2026-04-04,Sprite (20 oz cup),Drinks,7,25.13,0.2918125000000001,2.0426875000000004,COSTED
2026-04-04,Signature Slider Fries & Drink Combo,NFL Promo,2,37.08,4.095896524012146,8.191793048024293,COSTED
2026-04-05,1 Slider Combo,Combos,72,827.2800000000003,2.630301782940718,189.3817283717317,COSTED
2026-04-05,2 Slider Combo,Combos,107,1764.4300000000007,4.014954407632278,429.6001216166537,COSTED
2026-04-05,Combo 3,Combos,5,97.44999999999999,5.074329254546059,25.371646272730295,COSTED
2026-04-05,Chocolate Shake,Drinks,1,4.49,1.748259375,1.748259375,COSTED
2026-04-05,Coca Cola (20 oz cup),Drinks,14,48.86,0.2918125000000001,4.085375000000001,COSTED
2026-04-05,Coke Zero (20 oz cup),Drinks,3,10.379999999999999,0.29181250000000003,0.8754375000000001,COSTED
2026-04-05,Diet Coke (20 oz cup),Drinks,14,49.56,0.30082812500000006,4.2115937500000005,COSTED
2026-04-05,Hi-C (20 oz cup),Drinks,6,21.54,0.300828125,1.80496875,COSTED
2026-04-11,2 Slider Combo,Uncategorized,1,16.49,66.45021261360392,66.45021261360392,COSTED
2026-04-23,Loaded Fries,On The Side,121,1001.6100000000001,1.6593237037037039,200.77816814814815,COSTED